Class Name	Description 	Hit Dice	Favored Stats 	Natural Proficiencies
Barbarian 	A fierce warrior of a primitive background who can enter a battle rage 	d12 	Strength & Constitution 	Light and medium armor, shields, simple and martial weapons.
Bard 	An inspiring magician whose power echoes the music of creation 	d8 	Dexterity & Charisma 	Light armor, simple weapons, hand crossbows, longswords, rapiers, shortswords.
Cleric 	A priestly champion who wields divine magic in service of a higher power 	d8 	Wisdom & Charisma 	Light and medium armor, shields, simple weapons.
Druid 	A priest of the Old Faith, wielding the powers of nature — moonlight and plant growth, fire and lightning — and adopting animal forms 	d8 	Intelligence & Wisdom 	Light and medium armor (non-metal), shields (non-metal), clubs, daggers, darts, javelins, maces, quarterstaffs, scimitars, sickles, slings, spears.
Fighter 	A master of martial combat, skilled with a variety of weapons and armors 	d10 	Strength & Constitution 	All armor, shields, simple and martial weapons.
Monk 	A master of martial arts, skilled with fighting hands and martial monk weapons 	d8 	Strength & Dexterity 	Simple weapons, shortswords.
Paladin 	A holy warrior bound to a sacred oath 	d10 	Wisdom & Charisma 	All armor, shields, simple and martial weapons.
Ranger 	A master of ranged combat, one with nature 	d10 	Dexterity & Strength 	Light and medium armor, shield, simple weapons, martial weapons.
Rogue 	A scoundrel and agile warrior who uses stealth and trickery to overcome obstacles and enemies 	d8 	Dexterity, Intelligence 	Light armor, simple weapons, hand crossbows, longswords, rapiers, shortswords.
Sorcerer 	A spellcaster who draws on inherent magic from a gift or bloodline 	d6 	Constitution & Charisma 	Daggers, darts, slings, quarterstaffs, light crossbows.
Warlock 	A wielder of magic that is derived from a bargain with an extraplanar entity 	d8 	Wisdom & Charisma 	Light armor, simple weapons.
Wizard 	A scholarly magic-user capable of manipulating the structures of reality 	d6 	Intelligence & Wisdom 	Daggers, darts, slings, quarterstaffs, light crossbows. 
